model,AIME24,AIME25,BIG-Bench_Extra_Hard,DCS-HELD-OUT,HELD-OUT_ENVIRONMENTS,LiveCodeBench-v6,Math-500,OlympiadBench,Omega-500
DeepSeek-R1-Distill-Qwen-1.5B,0.2989583333333333,0.234375,0.012907608695652174,,0.206,0.12,0.82646875,0.43222222222222223,0.137
DeepSeek-R1-Distill-Qwen-1.5B-env-256-1200-hf,0.475,0.3640625,0.08016304347826086,,0.55,0.1725,0.88628125,0.5607407407407408,0.258
DeepSeek-R1-Distill-Qwen-1.5B-env-256-1600-hf,0.5010416666666667,0.371875,0.08695652173913043,,0.5712,0.18107142857142858,0.8889375,0.5614814814814815,0.2555
Deepseek-R1-Distill-Qwen-1.5B-env-16-100-hf,0.3109375,0.25677083333333334,0.03804347826086957,,0.3392,0.12607142857142858,0.84446875,0.4596296296296296,0.193
Deepseek-R1-Distill-Qwen-1.5B-env-16-200-hf,0.34270833333333334,0.2796875,0.041440217391304345,,0.3712,0.13428571428571429,0.8549375,0.4651851851851852,0.187
Deepseek-R1-Distill-Qwen-1.5B-env-16-300-hf,0.3625,0.2838541666666667,0.04823369565217391,,0.3692,0.13607142857142857,0.8625,0.4748148148148148,0.2005
Deepseek-R1-Distill-Qwen-1.5B-env-16-400-hf,0.3703125,0.284375,0.052309782608695655,,0.3812,0.1382142857142857,0.86078125,0.48185185185185186,0.207
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.005-400-hf,0.33697916666666666,0.2625,0.04823369565217391,,0.3432,0.12392857142857143,0.8500625,0.4562962962962963,0.1885
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.01-400-hf,0.3140625,0.2546875,0.03872282608695652,,0.3436,0.12071428571428572,0.8489375,0.4514814814814815,0.1825
Deepseek-R1-Distill-Qwen-1.5B-env-256-100-hf,0.3140625,0.2453125,0.034646739130434784,,0.3552,0.12714285714285714,0.84021875,0.45444444444444443,0.1775
Deepseek-R1-Distill-Qwen-1.5B-env-256-200-hf,0.34427083333333336,0.28020833333333334,0.049592391304347824,,0.4028,0.13785714285714284,0.85975,0.5022222222222222,0.1955
Deepseek-R1-Distill-Qwen-1.5B-env-256-2000-hf,0.5098958333333333,0.3921875,0.06589673913043478,,0.5804,0.18142857142857144,0.8916875,0.5788888888888889,0.272
Deepseek-R1-Distill-Qwen-1.5B-env-256-300-hf,0.3703125,0.29270833333333335,0.06997282608695653,,0.43,0.1407142857142857,0.86559375,0.5148148148148148,0.214
Deepseek-R1-Distill-Qwen-1.5B-env-256-400-hf,0.39114583333333336,0.3098958333333333,0.05570652173913043,,0.4564,0.14892857142857144,0.866125,0.5277777777777778,0.2175
Deepseek-R1-Distill-Qwen-1.5B-env-256-800-hf,0.4239583333333333,0.3333333333333333,0.06725543478260869,,0.4956,0.15392857142857144,0.87284375,0.5407407407407407,0.2365
Deepseek-R1-Distill-Qwen-1.5B-env-4-100-hf,0.3098958333333333,0.25364583333333335,0.02717391304347826,,0.2808,0.12357142857142857,0.83859375,0.4477777777777778,0.161
Deepseek-R1-Distill-Qwen-1.5B-env-4-200-hf,0.3234375,0.2640625,0.03736413043478261,,0.2804,0.12571428571428572,0.848375,0.45814814814814814,0.187
Deepseek-R1-Distill-Qwen-1.5B-env-4-300-hf,0.35,0.2765625,0.04823369565217391,,0.3004,0.12964285714285714,0.8615625,0.4737037037037037,0.183
Deepseek-R1-Distill-Qwen-1.5B-env-4-400-hf,0.3546875,0.28854166666666664,0.052309782608695655,,0.3124,0.12857142857142856,0.86646875,0.4774074074074074,0.186
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-100-hf,0.325,0.25625,0.025815217391304348,,0.316,0.12964285714285714,0.84934375,0.45925925925925926,0.178
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-300-hf,0.371875,0.29270833333333335,0.04008152173913043,,0.3644,0.14107142857142857,0.870875,0.4948148148148148,0.205
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-400-hf,0.390625,0.3151041666666667,0.04076086956521739,,0.4048,0.14607142857142857,0.87471875,0.4962962962962963,0.21
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-500-hf,0.4005208333333333,0.3223958333333333,0.042798913043478264,,0.408,0.14035714285714285,0.87625,0.5025925925925926,0.2115
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-600-hf,0.4005208333333333,0.3145833333333333,0.05502717391304348,,0.4104,0.15571428571428572,0.87859375,0.5166666666666667,0.2105
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-100-hf,0.31927083333333334,0.2546875,0.025135869565217392,,0.328,0.11857142857142858,0.84675,0.4577777777777778,0.185
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-300-hf,0.378125,0.2864583333333333,0.04755434782608696,,0.3848,0.1325,0.8668125,0.4885185185185185,0.1945
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-400-hf,0.37552083333333336,0.2875,0.042798913043478264,,0.382,0.13642857142857143,0.87028125,0.49666666666666665,0.202
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-500-hf,0.39791666666666664,0.3171875,0.050951086956521736,,0.3876,0.14642857142857144,0.8768125,0.502962962962963,0.1985
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-600-hf,0.40729166666666666,0.31302083333333336,0.05638586956521739,,0.3952,0.14714285714285713,0.875375,0.5014814814814815,0.1945
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-100-hf,0.3177083333333333,0.2578125,0.025815217391304348,0.11,0.3292,0.11714285714285715,0.842875,0.4666666666666667,0.177
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-100-hf,0.3098958333333333,0.2625,0.03192934782608696,0.01,0.3044,0.11607142857142858,0.8426875,0.48,0.1725
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-125-hf,0.3067708333333333,0.25677083333333334,0.030570652173913044,0.016,0.308,0.11928571428571429,0.8413125,0.47888888888888886,0.1705
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-150-hf,0.31927083333333334,0.2609375,0.027853260869565216,0.058,0.2912,0.12392857142857143,0.8425625,0.47814814814814816,0.174
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-200-hf,0.3125,0.26979166666666665,0.03940217391304348,0.108,0.316,0.12857142857142856,0.8455625,0.4951851851851852,0.179
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-50-hf,0.2942708333333333,0.24427083333333333,0.02377717391304348,0.004,0.2708,0.11785714285714285,0.8324375,0.46111111111111114,0.158
Deepseek-R1-Distill-Qwen-1.5B-env-high-structural-load-env-100-hf,0.31875,0.25833333333333336,0.035326086956521736,,0.3664,0.1332142857142857,0.8425,0.45666666666666667,0.1735
Deepseek-R1-Distill-Qwen-1.5B-env-high-structural-load-env-200-hf,0.3380208333333333,0.28802083333333334,0.044157608695652176,,0.4248,0.1382142857142857,0.85903125,0.4674074074074074,0.1965
Deepseek-R1-Distill-Qwen-1.5B-env-high-structural-load-env-300-hf,0.36614583333333334,0.28802083333333334,0.057744565217391304,,0.432,0.13535714285714287,0.86715625,0.49444444444444446,0.2075
Deepseek-R1-Distill-Qwen-1.5B-env-low-structural-load-env-100-hf,0.31927083333333334,0.24739583333333334,0.019021739130434784,,0.284,0.12821428571428573,0.8438125,0.4840740740740741,0.1715
Deepseek-R1-Distill-Qwen-1.5B-env-low-structural-load-env-200-hf,0.34010416666666665,0.28958333333333336,0.02377717391304348,,0.2904,0.12857142857142856,0.84540625,0.4885185185185185,0.183
Deepseek-R1-Distill-Qwen-1.5B-env-low-structural-load-env-300-hf,0.4010416666666667,0.3020833333333333,0.025135869565217392,,0.3232,0.13464285714285715,0.85296875,0.5114814814814815,0.2005
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_1-400-hf,0.40625,0.3177083333333333,0.059782608695652176,,0.4564,0.1457142857142857,0.87678125,0.5311111111111111,0.2145
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_2-400-hf,0.390625,0.2869791666666667,0.04076086956521739,,0.4416,0.1375,0.87065625,0.5025925925925926,0.2045
