model,AIME24,AIME25,BIG-Bench_Extra_Hard,LiveCodeBench-v6,OlympiadBench,Omega-500
Deepseek-R1-Distill-Qwen-1.5B-env-16-100-hf,0.31333333333333335,0.2866666666666667,0.029211956521739132,0.12464285714285714,0.45481481481481484,0.169
Deepseek-R1-Distill-Qwen-1.5B-env-16-200-hf,0.38666666666666666,0.26666666666666666,0.042119565217391304,0.1357142857142857,0.4703703703703704,0.1885
Deepseek-R1-Distill-Qwen-1.5B-env-16-300-hf,0.31333333333333335,0.29333333333333333,0.044157608695652176,0.1375,0.4825925925925926,0.1955
Deepseek-R1-Distill-Qwen-1.5B-env-16-400-hf,0.38666666666666666,0.3,0.05366847826086957,0.13714285714285715,0.4866666666666667,0.188
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.005-400-hf,0.3,0.26666666666666666,0.044157608695652176,0.12142857142857143,0.4596296296296296,0.188
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.01-400-hf,0.3466666666666667,0.2733333333333333,0.033967391304347824,0.12464285714285714,0.4659259259259259,0.189
Deepseek-R1-Distill-Qwen-1.5B-env-256-100-hf,0.29333333333333333,0.24666666666666667,0.034646739130434784,0.12142857142857143,0.457037037037037,0.181
Deepseek-R1-Distill-Qwen-1.5B-env-256-200-hf,0.34,0.30666666666666664,0.052309782608695655,0.13,0.49703703703703705,0.196
Deepseek-R1-Distill-Qwen-1.5B-env-256-300-hf,0.34,0.2866666666666667,0.05298913043478261,0.13892857142857143,0.5096296296296297,0.2085
Deepseek-R1-Distill-Qwen-1.5B-env-256-400-hf,0.36666666666666664,0.29333333333333333,0.06725543478260869,0.14464285714285716,0.5196296296296297,0.211
Deepseek-R1-Distill-Qwen-1.5B-env-256-800-hf,0.41333333333333333,0.38666666666666666,0.07269021739130435,0.1632142857142857,0.5488888888888889,0.236
Deepseek-R1-Distill-Qwen-1.5B-env-4-100-hf,0.36666666666666664,0.22666666666666666,0.024456521739130436,0.12392857142857143,0.44592592592592595,0.1695
Deepseek-R1-Distill-Qwen-1.5B-env-4-200-hf,0.29333333333333333,0.25333333333333335,0.04008152173913043,0.1275,0.45925925925925926,0.18
Deepseek-R1-Distill-Qwen-1.5B-env-4-300-hf,0.3466666666666667,0.2733333333333333,0.04823369565217391,0.1332142857142857,0.4751851851851852,0.1875
Deepseek-R1-Distill-Qwen-1.5B-env-4-400-hf,0.35333333333333333,0.26,0.057065217391304345,0.13142857142857142,0.48074074074074075,0.185
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_1-400-hf,0.42,0.34,0.052309782608695655,0.15392857142857144,0.5270370370370371,0.209
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_2-400-hf,0.3466666666666667,0.3,0.03328804347826087,0.13857142857142857,0.5111111111111111,0.1955
